data_id,station_code,timestamp,utc_offset,logger_serial,wtmp,wtmp_flag
62.0,01FW002,2020-11-14 13:30:00,0.0,20893574,0.64,P
62.0,01FW002,2020-11-14 13:45:00,0.0,20893574,0.6,P
62.0,01FW002,2020-11-14 14:00:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-14 14:15:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-14 14:30:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 14:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 15:00:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 15:15:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-14 15:30:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 15:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 16:00:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 16:15:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 16:30:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 16:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 17:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 17:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 17:30:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 17:45:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 18:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 18:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 18:30:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 18:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 19:00:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 19:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 19:30:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 19:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 20:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 20:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 20:30:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-14 20:45:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 21:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 21:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 21:30:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-14 21:45:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-14 22:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 22:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 22:30:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-14 22:45:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-14 23:00:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-14 23:15:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-14 23:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-14 23:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 00:00:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-15 00:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 00:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 00:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 01:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 01:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 01:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 01:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 02:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 02:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 02:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 02:45:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 03:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 03:15:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 03:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 03:45:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 04:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 04:15:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 04:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 04:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 05:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 05:15:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 05:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 05:45:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 06:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 06:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 06:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 06:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 07:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 07:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 07:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 07:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 08:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 08:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 08:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 08:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 09:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 09:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 09:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 09:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 10:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 10:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 10:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 10:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 11:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 11:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 11:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 11:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 12:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 12:15:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 12:30:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 12:45:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 13:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 13:15:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 13:30:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 13:45:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 14:00:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 14:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 14:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 14:45:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 15:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 15:15:00,0.0,20893574,0.25,P
62.0,01FW002,2020-11-15 15:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 15:45:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 16:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 16:15:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 16:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 16:45:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 17:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 17:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 17:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 17:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 18:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 18:15:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 18:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 18:45:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 19:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 19:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 19:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 19:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 20:00:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-15 20:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 20:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 20:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 21:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 21:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 21:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 21:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-15 22:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 22:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 22:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 22:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 23:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 23:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 23:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-15 23:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 00:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 00:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 00:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 00:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 01:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 01:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 01:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 01:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 02:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 02:15:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 02:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 02:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 03:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 03:15:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 03:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 03:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 04:00:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 04:15:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 04:30:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 04:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 05:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 05:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 05:30:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 05:45:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 06:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 06:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 06:30:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 06:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 07:00:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 07:15:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 07:30:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 07:45:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 08:00:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 08:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 08:30:00,0.0,20893574,0.6,P
62.0,01FW002,2020-11-16 08:45:00,0.0,20893574,0.6,P
62.0,01FW002,2020-11-16 09:00:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 09:15:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 09:30:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 09:45:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 10:00:00,0.0,20893574,0.55,P
62.0,01FW002,2020-11-16 10:15:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 10:30:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 10:45:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 11:00:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 11:15:00,0.0,20893574,0.51,P
62.0,01FW002,2020-11-16 11:30:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 11:45:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 12:00:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 12:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 12:30:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 12:45:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 13:00:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 13:15:00,0.0,20893574,0.47,P
62.0,01FW002,2020-11-16 13:30:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 13:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 14:00:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 14:15:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 14:30:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 14:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 15:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 15:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 15:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 15:45:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 16:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 16:15:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 16:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 16:45:00,0.0,20893574,0.43,P
62.0,01FW002,2020-11-16 17:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 17:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 17:30:00,0.0,20893574,0.3,P
62.0,01FW002,2020-11-16 17:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 18:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 18:15:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 18:30:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 18:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 19:00:00,0.0,20893574,0.38,P
62.0,01FW002,2020-11-16 19:15:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 19:30:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 19:45:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 20:00:00,0.0,20893574,0.34,P
62.0,01FW002,2020-11-16 20:15:00,0.0,20893574,0.38,P
